ECE Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
105	105	1	1	-53.55151515	-50.71515152	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9107.727273	9283.424242	0	0	0	0
106	106	1	1	-50.71515152	-50.15454545	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9283.424242	9440.151515	0	0	0	0
107	107	1	1	-50.15454545	-49.9625	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9440.151515	9587.424242	0	0	0	0
108	108	1	1	-49.9625	-48.9969697	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9587.424242	9729.46875	0	0	0	0
109	109	1	1	-48.9969697	-48.93939394	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9729.46875	9867.878788	0	0	0	0
110	110	1	1	-48.93939394	-48.78484848	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9867.878788	10002.48485	0	0	0	0
111	111	1	1	-48.78484848	-47.84848485	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10002.48485	10132.57576	0	0	0	0
112	112	1	1	-47.84848485	-47.82121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10132.57576	10259.33333	0	0	0	0
113	113	1	1	-47.82121212	-47.69393939	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10259.33333	10380.60606	0	0	0	0
114	114	1	1	-47.69393939	-46.78787879	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10380.60606	10500.60606	0	0	0	0
115	115	1	1	-46.78787879	-46.809375	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10500.60606	10616.81818	0	0	0	0
116	116	1	1	-46.809375	-46.72121212	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10616.81818	10726.9375	0	0	0	0
117	117	1	1	-46.72121212	-45.83636364	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10726.9375	10835.63636	0	0	0	0
118	118	1	1	-45.83636364	-45.88181818	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10835.63636	10942.18182	0	0	0	0
119	119	1	1	-45.88181818	-45.825	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10942.18182	11043.63636	0	0	0	0
120	120	1	1	-45.825	-44.95757576	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11043.63636	11141.40625	0	0	0	0
121	121	1	1	-44.95757576	-45.03636364	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11141.40625	11237.78788	0	0	0	0
